Congruent,Incongruent,Diff,Squared Diff
12.079,19.278,-7.199,0.579121
16.791,18.741,-1.95,36.1201
9.564,21.214,-11.65,13.6161
8.63,15.687,-7.057,0.815409
14.669,22.803,-8.134,0.030276
12.238,20.878,-8.64,0.4624
14.692,24.572,-9.88,3.6864
8.987,17.394,-8.407,0.199809
9.401,20.762,-11.361,11.566801
14.48,26.282,-11.802,14.760964
22.328,24.524,-2.196,33.223696
15.298,18.644,-3.346,21.288996
15.073,17.51,-2.437,30.503529
16.929,20.33,-3.401,20.784481
18.2,35.255,-17.055,82.719025
12.13,22.158,-10.028,4.276624
18.495,25.139,-6.644,1.731856
10.639,20.429,-9.79,3.3489
11.344,17.425,-6.081,3.530641
12.369,34.288,-21.919,194.853681
12.944,23.894,-10.95,8.9401
14.233,17.96,-3.727,17.918289
19.71,22.058,-2.348,31.494544
16.004,21.157,-5.153,7.879249
